uniprot_id,pdb_id,polymer_entity_id,instance_id,n_usable_positions,raw_b_mean,raw_b_sd,z_mean,z_sd
O00482,1YOK,1YOK_1,1YOK.A,236,61.5239406779661,17.207208953794098,-2.5403408190575616e-17,1.0
O00482,1YUC,1YUC_1,1YUC.B,240,23.814916666666665,7.689299815959982,2.1001718882492544e-16,1.0
O00482,1ZDU,1ZDU_1,1ZDU.A,232,33.68137931034483,1.531773480007634,-1.954375358866008e-15,0.9999999999999999
O00482,3TX7,3TX7_2,3TX7.B,217,78.76341013824884,18.308622389703306,2.1999811087042273e-16,1.0
O00482,4DOR,4DOR_1,4DOR.B,240,22.39333333333333,7.122672524333047,3.3121653567983837e-16,0.9999999999999999
O00482,4DOS,4DOS_1,4DOS.A,239,20.10949790794979,7.3787415839671695,-3.1587935428665544e-17,1.0
O00482,4IS8,4IS8_1,4IS8.A,230,55.42547826086957,9.297521852480557,-2.587302353039495e-16,1.0
O00482,4ONI,4ONI_1,4ONI.A,240,14.534833333333333,7.535624170491047,1.4802973661668754e-17,1.0
O00482,4RWV,4RWV_1,4RWV.A,240,33.85854166666667,14.42227024858652,-4.255854927729767e-17,1.0
O00482,5L11,5L11_1,5L11.A,234,36.0575641025641,11.490664644872968,1.9405180216738847e-16,1.0
O00482,5SYZ,5SYZ_1,5SYZ.A,237,42.63654008438819,11.88746756358971,-1.311655894071915e-16,1.0
O00482,5UNJ,5UNJ_1,5UNJ.A,227,38.62436123348017,9.863431545902259,3.8637717597086945e-16,1.0
O00482,6OQX,6OQX_1,6OQX.A,239,40.99029288702929,13.634972183375142,-1.802370433282681e-16,0.9999999999999999
O00482,6OQY,6OQY_1,6OQY.A,237,57.09755274261604,19.282724869662925,-2.3797185506733313e-16,0.9999999999999999
O00482,6OR1,6OR1_1,6OR1.A,235,53.86506382978724,14.071326492241052,-3.666098157911155e-16,1.0
O00482,6VIF,6VIF_1,6VIF.A,235,66.35753680851064,17.45746131732923,-3.7605852238367005e-16,1.0
O00482,7JYD,7JYD_1,7JYD.A,239,70.16338912133891,21.93510775246347,1.4028759558024991e-16,0.9999999999999999
O00482,7JYE,7JYE_1,7JYE.A,240,55.60970833333333,23.8485701422873,1.3322676295501878e-16,0.9999999999999999
O00482,7TT8,7TT8_1,7TT8.A,234,54.40093884615385,37.408294763681155,-7.591268544445515e-17,0.9999999999999999
