uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,any_instance_ge_100pct,all_instances_ge_100pct,any_instance_ge_99pct,all_instances_ge_99pct,any_instance_ge_95pct,all_instances_ge_95pct,any_instance_ge_90pct,all_instances_ge_90pct,any_instance_ge_80pct,all_instances_ge_80pct
O00482,NR5A2,LRH-1,1YOK,1YOK_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,1YUC,1YUC_1,True,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,1ZDU,1ZDU_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,3PLZ,3PLZ_1,False,False,True,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,3TX7,3TX7_2,False,False,False,False,False,False,True,True,True,True
O00482,NR5A2,LRH-1,4DOR,4DOR_1,True,False,True,False,True,False,True,True,True,True
O00482,NR5A2,LRH-1,4DOS,4DOS_1,False,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,4IS8,4IS8_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,4ONI,4ONI_1,True,True,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,4PLD,4PLD_1,False,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,4PLE,4PLE_1,False,False,True,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,4RWV,4RWV_1,True,True,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,5L11,5L11_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,5SYZ,5SYZ_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,5UNJ,5UNJ_1,False,False,False,False,False,False,True,True,True,True
O00482,NR5A2,LRH-1,6OQX,6OQX_1,False,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,6OQY,6OQY_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,6OR1,6OR1_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,6VC2,6VC2_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,6VIF,6VIF_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,7JYD,7JYD_1,False,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,7JYE,7JYE_1,True,True,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,7TT8,7TT8_1,False,False,False,False,True,True,True,True,True,True
O00482,NR5A2,LRH-1,8F8M,8F8M_1,False,False,True,True,True,True,True,True,True,True
O00482,NR5A2,LRH-1,9SMQ,9SMQ_1,False,False,True,True,True,True,True,True,True,True
O75469,NR1I2,PXR,1ILG,1ILG_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,1ILH,1ILH_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,1M13,1M13_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,1NRL,1NRL_1,False,False,False,False,True,False,True,True,True,True
O75469,NR1I2,PXR,1SKX,1SKX_1,False,False,False,False,False,False,False,False,True,True
O75469,NR1I2,PXR,2O9I,2O9I_1,False,False,False,False,True,True,True,True,True,True
O75469,NR1I2,PXR,2QNV,2QNV_1,False,False,False,False,False,False,False,False,True,True
O75469,NR1I2,PXR,3CTB,3CTB_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,3HVL,3HVL_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,3R8D,3R8D_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4J5W,4J5W_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4J5X,4J5X_2,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4NY9,4NY9_1,False,False,False,False,False,False,False,False,True,True
O75469,NR1I2,PXR,4S0S,4S0S_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4S0T,4S0T_1,False,False,False,False,True,True,True,True,True,True
O75469,NR1I2,PXR,4X1F,4X1F_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4X1G,4X1G_1,False,False,False,False,True,True,True,True,True,True
O75469,NR1I2,PXR,4XAO,4XAO_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,4XHD,4XHD_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,5A86,5A86_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,5X0R,5X0R_1,False,False,False,False,False,False,False,False,True,True
O75469,NR1I2,PXR,6BNS,6BNS_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,6DUP,6DUP_1,False,False,False,False,False,False,False,False,True,True
O75469,NR1I2,PXR,6HJ2,6HJ2_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,6HTY,6HTY_1,False,False,False,False,True,True,True,True,True,True
O75469,NR1I2,PXR,6NX1,6NX1_1,False,False,False,False,True,False,True,True,True,True
O75469,NR1I2,PXR,6P2B,6P2B_1,False,False,False,False,False,False,True,True,True,True
O75469,NR1I2,PXR,6S41,6S41_1,False,False,False,False,False,False,True,True,True,True
