uniprot_id,nr_code,common_name,polymer_entity_id,pdb_id,entity_id,query_length,target_length,rcsb_reference_sequence_coverage,rcsb_entity_sequence_coverage,aligned_regions_json,is_stage2_candidate,duplicate_alignment_flagged
P10275,NR3C4,AR,1XOW_2,1XOW,2,920,11,0.011956521739130435,1.0,"[{""query_begin"":20,""query_end"":30,""target_begin"":1,""target_end"":11}]",True,False
P10275,NR3C4,AR,2Q7I_2,2Q7I,2,920,11,0.011956521739130435,1.0,"[{""query_begin"":20,""query_end"":30,""target_begin"":1,""target_end"":11}]",True,False
P10275,NR3C4,AR,2Q7K_2,2Q7K,2,920,11,0.011956521739130435,1.0,"[{""query_begin"":20,""query_end"":30,""target_begin"":1,""target_end"":11}]",True,False
P10275,NR3C4,AR,3V49_2,3V49,2,920,11,0.011956521739130435,1.0,"[{""query_begin"":21,""query_end"":31,""target_begin"":1,""target_end"":11}]",True,False
P10275,NR3C4,AR,3V4A_2,3V4A,2,920,11,0.011956521739130435,1.0,"[{""query_begin"":21,""query_end"":31,""target_begin"":1,""target_end"":11}]",True,False
P10275,NR3C4,AR,5CJ6_2,5CJ6,2,920,10,0.010869565217391304,1.0,"[{""query_begin"":21,""query_end"":30,""target_begin"":1,""target_end"":10}]",True,False
P10275,NR3C4,AR,8RM6_1,8RM6,1,920,73,0.07934782608695652,1.0,"[{""query_begin"":557,""query_end"":629,""target_begin"":1,""target_end"":73}]",True,False
P10275,NR3C4,AR,8RM7_1,8RM7,1,920,73,0.07934782608695652,1.0,"[{""query_begin"":557,""query_end"":629,""target_begin"":1,""target_end"":73}]",True,False
P10275,NR3C4,AR,3BTR_2,3BTR,2,920,15,0.016304347826086956,1.0,"[{""query_begin"":622,""query_end"":636,""target_begin"":1,""target_end"":15}]",True,False
P10275,NR3C4,AR,5CJ6_1,5CJ6,1,920,283,0.3032608695652174,0.9858657243816255,"[{""query_begin"":642,""query_end"":920,""target_begin"":3,""target_end"":281}]",True,False
P10275,NR3C4,AR,2AM9_1,2AM9,1,920,266,0.2891304347826087,1.0,"[{""query_begin"":655,""query_end"":920,""target_begin"":1,""target_end"":266}]",True,False
P10275,NR3C4,AR,2AMA_1,2AMA,1,920,266,0.2891304347826087,1.0,"[{""query_begin"":655,""query_end"":920,""target_begin"":1,""target_end"":266}]",True,False
P10275,NR3C4,AR,2AMB_1,2AMB,1,920,266,0.2891304347826087,1.0,"[{""query_begin"":655,""query_end"":920,""target_begin"":1,""target_end"":266}]",True,False
