uniprot_id,common_name,pdb_id,polymer_entity_id,profile_lbd_start,profile_lbd_end,profile_lbd_mapping_coverage,profile_lbd_mapping_category,previous_lbd_start,previous_lbd_end,previous_lbd_mapping_coverage,previous_lbd_mapping_category,coverage_difference,category_changed,prefilter_consequence_changed
P11473,VDR,1DB1,1DB1_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1IE8,1IE8_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1IE9,1IE9_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1KB2,1KB2_3,127,423,0.0,NO_LBD_OVERLAP,118,427,0.025806,TRACE_LBD,0.025806,True,True
P11473,VDR,1KB4,1KB4_3,127,423,0.0,NO_LBD_OVERLAP,118,427,0.025806,TRACE_LBD,0.025806,True,True
P11473,VDR,1KB6,1KB6_3,127,423,0.0,NO_LBD_OVERLAP,118,427,0.025806,TRACE_LBD,0.025806,True,True
P11473,VDR,1S0Z,1S0Z_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1S19,1S19_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1TXI,1TXI_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,1YNW,1YNW_3,127,423,0.0,NO_LBD_OVERLAP,118,427,0.025806,TRACE_LBD,0.025806,True,True
P11473,VDR,2HAM,2HAM_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,2HAR,2HAR_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,2HAS,2HAS_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,2HB7,2HB7_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,2HB8,2HB8_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3A2I,3A2I_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3A2J,3A2J_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3A3Z,3A3Z_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3A40,3A40_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3A78,3A78_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3AUQ,3AUQ_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3AUR,3AUR_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3AX8,3AX8_1,127,423,0.841751,SUBSTANTIAL_LBD,118,427,0.835484,SUBSTANTIAL_LBD,-0.006267,False,False
P11473,VDR,3AZ1,3AZ1_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3AZ2,3AZ2_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3AZ3,3AZ3_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
P11473,VDR,3B0T,3B0T_1,127,423,0.828283,SUBSTANTIAL_LBD,118,427,0.816129,SUBSTANTIAL_LBD,-0.012154,False,False
