anomaly_type,uniprot_id,nr_code,pdb_id,polymer_entity_id,details,review_status
ENTITY_MULTI_MAPPED_UNIPROT,"[""O75469"",""Q15788""]",,3CTB,3CTB_1,"Entity maps to multiple UniProt accessions: ['O75469', 'Q15788']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""O75469"",""Q15788""]",,3HVL,3HVL_1,"Entity maps to multiple UniProt accessions: ['O75469', 'Q15788']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P19793"",""Q15788""]",,4J5X,4J5X_1,"Entity maps to multiple UniProt accessions: ['P19793', 'Q15788']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""O75469"",""Q15788""]",,4J5X,4J5X_2,"Entity maps to multiple UniProt accessions: ['O75469', 'Q15788']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P0AEX9"",""Q9Y5X4""]",,4LOG,4LOG_1,"Entity maps to multiple UniProt accessions: ['P0AEX9', 'Q9Y5X4']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P0AEY0"",""Q9Y466""]",,4XAJ,4XAJ_1,"Entity maps to multiple UniProt accessions: ['P0AEY0', 'Q9Y466']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P55055"",""Q15596""]",,5I4V,5I4V_1,"Entity maps to multiple UniProt accessions: ['P55055', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P28702"",""Q15596""]",,5I4V,5I4V_2,"Entity maps to multiple UniProt accessions: ['P28702', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P51449"",""Q15596""]",,5VB3,5VB3_1,"Entity maps to multiple UniProt accessions: ['P51449', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P51449"",""Q15596""]",,5VB5,5VB5_1,"Entity maps to multiple UniProt accessions: ['P51449', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P51449"",""Q15596""]",,5VB6,5VB6_1,"Entity maps to multiple UniProt accessions: ['P51449', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P51449"",""Q15596""]",,5VB7,5VB7_1,"Entity maps to multiple UniProt accessions: ['P51449', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
ENTITY_MULTI_MAPPED_UNIPROT,"[""P51449"",""Q15596""]",,5VQK,5VQK_1,"Entity maps to multiple UniProt accessions: ['P51449', 'Q15596']. See rcsb_multi_uniprot_entity_audit.csv for the evidence-based classification (fusion/chimera vs. same-protein vs. ambiguous).",REVIEW_NEEDED
